index,name,abbr,Description
17,Chlorine,Cl,"From Greek χλωρός (*chlorós*), which means ""yellowish green"" or ""greenish yellow"", because of the colour of the gas."
18,Argon,Ar,"Greek *argon* means ""inactive"" (literally ""slow"")."
19,Potassium,K,"From the English ""potash"", which means ""pot-ash"" (potassium compound prepared from an alkali extracted in a *pot* from the *ash* of burnt wood or tree leaves).Potash is a literal translation of the German *Potaschen*, which means ""pot ashes"".[46] The symbol *K* is from the Latin name *kalium*, from Arabic القلي (*al qalīy*), which means ""calcined ashes""."
20,Calcium,Ca,"From Latin *calx*, which means ""lime"". Calcium was known as early as the first century when the Ancient Romans prepared lime as calcium oxide."
21,Scandium,Sc,"Named from Latin *Scandia*, which means Scandinavia; formerly *eka-boron*.[25]"
22,Titanium,Ti,"For the ""Titans"", the first sons of Gaia in Greek mythology.[18]"
23,Vanadium,V,"From *Vanadís*, one of the names of the Vanr goddess Freyja in Norse mythology, because of multicoloured chemical compounds deemed beautiful.[18]"
24,Chromium,Cr,"From Greek χρῶμα (*chróma*), ""colour"", because of its multicoloured compounds. This word was adapted as the French *chrome*, and adding the suffix -*ium* created the English ""chromium"".[22]"
25,Manganese,Mn,"From Latin *Magnesia*, ultimately from Greek; Magnesia evolved into ""manganese"" in Italian and into ""manganèse"" in French."
26,Iron,Fe,"From the Anglo-Saxon *īsern* which is derived from Proto-Germanic *isarnan* meaning ""holy metal"" or ""strong metal"".The symbol *Fe* is from Latin *ferrum*, meaning ""iron""."
27,Cobalt,Co,"From German *Kobold*, which means ""evil spirit"". The metal was named by miners, because it was poisonous and troublesome (polluted and degraded other mined elements, such as nickel). Other sources cite the origin in the silver miners' belief that cobalt had been placed by ""Kobolds"", who had stolen the silver. Some also think that the name may have been derived from Greek κόβαλος, *kobalos*, which means ""mine"" and which may have common roots with kobold, goblin, and cobalt."
28,Nickel,Ni,"From the Swedish *kopparnickel*, meaning ""copper-coloured ore""; this referred to the ore niccolite from which it was obtained.[36]"
29,Copper,Cu,"Possibly derived from Greek Κύπριος (*Kyprios*) (which comes from Κύπρος (*Kypros*), the Greek name of Cyprus) via Latin *cuprum*, West Germanic **kupar*, Old English *coper*/*copor*, and Middle English *coper*. The Latin term, during the Roman Empire, was *aes cyprium*; ""aes"" was the generic term for copper alloys such as bronze). *Cyprium* means ""Cyprus"" or ""which is from Cyprus"", where so much of it was mined; it was simplified to *cuprum* and then eventually Anglicized as *copper* (Old English *coper/copor*)."
30,Zinc,Zn,"From German *Zink* which is related to *Zinken* ""prong, point"", probably alluding to its spiky crystals. May be derived from Old Persian."
31,Gallium,Ga,"From Latin *Gallia*, which means *Gaul* (Ancient France), and also *gallus*, which means ""rooster"". The element was obtained as free metal by Lecoq de Boisbaudran, who named *gallium* after France, his native land, and also, punningly, after himself, as *Lecoq*, which means ""the rooster"", or in Latin, *gallus*. *Gallium* was called *eka-aluminium* by Mendeleev who predicted its existence.[25]"
32,Germanium,Ge,"From Latin *Germania*, which means ""Germany"". *Germanium* has also been called *eka-silicon* by Mendeleev.[25]"
33,Arsenic,As,"From Greek ἀρσενικόν (*arsenikon*), which is adapted from the Syriac ܠܐ ܙܐܦܢܝܐ (al) zarniqa[6] and Persian, زرنيخ (*zarnik*), ""yellow orpiment"". Ἀρσενικόν (*arsenikon*) is paretymologically related to the Greek word ἀρσενικός (*arsenikos*), which means ""masculine"" or ""potent"". These words were adapted as the Latin *arsenicum* and Old French *arsenic*, which is the source for the English arsenic.[6]"
34,Selenium,Se,"From Greek σελήνη (*selene*), which means ""Moon"", and also moon-goddess Selene.[18]"
35,Bromine,Br,"βρόμος (*brómos*) means ""stench (lit. clangor)"", due to its characteristic smell."
36,Krypton,Kr,"From Greek κρυπτός (*kryptos*), which means ""hidden one"", because of its colourless, odorless, tasteless, gaseous properties, as well as its rarity in nature (like other noble gases)."
37,Rubidium,Rb,"From Latin *rubidus*, which means ""deepest red"", because of the colour of a spectral line."
38,Strontium,Sr,"Named after strontianite, the mineral. (Strontianite was named after the town of Strontian, the source of the mineral in Scotland.)"39,Yttrium,Y,"Named after yttria, the (oxide) compound of *yttrium*. (The compound *yttria* was named after *Ytterby*, the village where the mineral gadolinite was also found.)[12]"
40,Zirconium,Zr,"From Arabic زركون (*zarkûn*). Derived from the Persian, زرگون (*zargûn*), which means ""gold-like"". *Zirkon* is the German variant of these and is the origin of the English ""zircon"".[62]"
41,Niobium,Nb,"Named after Niobe, daughter of Tantalus in Classical mythology.[12][18]The alternate name *columbium* comes from Columbia, personification of America."
42,Molybdenum,Mo,"From Greek μόλυβδος (*molybdos*), ""lead""."
43,Technetium,Tc,"From Greek τεχνητός (*technetos*), which means ""artificial"", because it was the first artificially produced element. *Technetium* has also been called *eka-manganese*.[25]"
44,Ruthenium,Ru,"From Latin *Ruthenia*, geographical exonym for Kievan Rus'."
45,Rhodium,Rh,"From Greek ῥόδον (*rhodon*), which means ""rose"". From rose-red compounds."
46,Palladium,Pd,"Named after Pallas, the asteroid discovered two years earlier. (The asteroid was named after Pallas Athena, goddess of wisdom and victory.)[18] The word Palladium is derived from Greek Παλλάδιον and is the neuter version of Παλλάδιος, meaning ""of Pallas"".[41]"
47,Silver,Ag,"From the Anglo-Saxon, *seolfor* which was derived from Proto-Germanic **silubra-*; compare Old High German *silabar*; and has cognates in Balto-Slavic languages: Church Slavonic: sĭrebro, Lithuanian: *sidabras*, Old Prussian *sirablan*. Possibly borrowed from Akkadian  *sarpu* ""refined silver"" and related to  *sarapu* ""to refine, smelt"".[52] Alternatively, possibly from one of the Pre-Indo-European languages, compare Basque: *zilar*.The symbol *Ag* is from the Latin name *argentum*, which is derived from PIE **arg-ent-*."
48,Cadmium,Cd,"From Latin *cadmia*, which is derived from Greek καδμεία (kadmeia) and means ""calamine"", a cadmium-bearing mixture of minerals. Cadmium is named after Cadmus (in Greek: Κάδμος *Kadmos*), a character in Greek mythology and calamine is derived from *Le Calamine,* the French name of the Belgian town of Kelmis."
49,Indium,In,"Named after *indigo*, because of an indigo-coloured spectrum line. The English word indigo is from Spanish *indico* and Dutch *indigo* (from Portuguese *endego*), from Latin *indicum* ""indigo,"" from Greek ἰνδικόν, *indikon*, ""blue dye from India""."
50,Tin,Sn,"Borrowed from a Proto-Indo-European language, and has cognates in several Germanic and Celtic languages.[60]The symbol *Sn* is from its Latin name *stannum*."
51,Antimony,Sb,"Possibly from Greek ἀντί + μόνος (*anti monos*), approximately meaning ""opposed to solitude"", as believed never to exist in pure form, or ἀντί + μοναχός (*anti monachos*) for ""monk-killer"" (in French folk etymology, anti-moine ""monk's bane""), because many early alchemists were monks, and antimony is poisonous. This may also be derived from the Pharaonic (ancient Egyptian), *Antos Ammon* (expression), which could be translated as ""bloom of the god Ammo"".The symbol *Sb* is from Latin name *stibium*, which is derived from Greek Στίβι *stíbi*, a variant of *στίμμι* *stimmi* (genitive: στίμμεος or στίμμιδος), probably a loan word from Arabic or Egyptian [TABLE] *sdm* meaning ""eyepaint"".[4] Littré suggests that the first form is derived from **stimmida*, a hypothetical alternative accusative of *stimmi* (the canonical accusative of the noun is the same as the nominative: *stimmi*). The Arabic word for the substance, as ""mark"" or ""the cosmetic"", can appear as تحميض، ثمود، وثمود، وثمود *ithmid*, *athmoud*, *othmod* or *uthmod*.[5]"
52,Tellurium,Te,"From Latin *tellus* (""Earth"")."
53,Iodine,I,"Named after the Greek ἰώδης (*iodes*), which means ""violet"", because of the colour of the gaseous phase. This word was adapted as the French *iode*, which is the source of the English ""iodine"".[29]"
54,Xenon,Xe,"From the Greek adjective ξένος (*xenos*), which means ""foreign, a stranger""."
55,Caesium,Cs,"From Latin *caesius*, which means ""sky blue"". Its identification was based upon the bright-blue lines in its spectrum, and it was the first element discovered by spectrum analysis."
56,Barium,Ba,"βαρύς (*barys*) means ""heavy"". The oxide was initially called ""barote"", then ""baryta"", which was modified to ""barium"" to describe the metal. Sir Humphry Davy gave the element this name because it was originally found in baryte, which shares the same source.[8]"
57,Lanthanum,La,"From Greek *lanthanein*, ""to lie (hidden)""."
58,Cerium,Ce,"Named after the asteroid Ceres, discovered two years earlier. (The asteroid, now classified as a dwarf planet, was named after Ceres, the goddess of fertility in Roman mythology.)[18] Ceres is derived from PIE **ker-es-* from base **ker-* meaning *to grow.*[19][20]"
59,Praseodymium,Pr,"From Greek πράσιος δίδυμος (*prasios didymos*), meaning ""green twin"", because didymium separated into *praseodymium* and neodymium, with salts of different colours; praseodymium oxide is green."
60,Neodymium,Nd,"Derived from Greek νέος διδύμος (*neos didymos*), which means ""new twin"", because didymium separated into praseodymium and neodymium. The metals have different-coloured salts, which helps distinguish them.[34]"
61,Promethium,Pm,"Named after Prometheus, who stole the fire of heaven and gave it to mankind (in Classical mythology).[18]"
62,Samarium,Sm,"Named after samarskite, the mineral. (Samarskite was named after Colonel Vasili Samarsky-Bykhovets, a Russian mine official.)"63,Europium,Eu,"Named for Europe, where it was discovered. Europe was named after the fictional Phoenician princess Europa."
64,Gadolinium,Gd,"Named in honour of Johan Gadolin, who was one of the founders of Nordic chemistry research, discovered yttrium, and pioneered laboratory exercise teaching. (Gadolinite, the mineral, is also named for him.)"65,Terbium,Tb,"Named after Ytterby, the village in Sweden where the element was first discovered."
66,Dysprosium,Dy,"Derived from Greek δυσπρόσιτος (*dysprositos*), which means ""hard to get at""."
67,Holmium,Ho,"Derived from Latin *Holmia*, which means Stockholm."
68,Erbium,Er,"Named after the village of Ytterby in Sweden, where large concentrations of yttria and erbia are located. Erbia and terbia were confused at this time. After 1860, what had been known as terbia was renamed erbia, and after 1877, what had been known as erbia was renamed terbia."
69,Thulium,Tm,"Named after Thule, an ancient Roman and Greek name (Θούλη, Θύλη) for a mythical country in the far north, perhaps Scandinavia. By the same token, *thulia*, its oxide."
70,Ytterbium,Yb,"Named after *ytterbia*, the (oxide) compound of *ytterbium*. (The compound *ytterbia* was named after Ytterby, the Swedish village (near Vaxholm) where the mineral gadolinite was also found.)[12]"
71,Lutetium,Lu,"Named after the Latin *Lutetia* (Gaulish for ""place of mud""), the city of Paris.[12]"
72,Hafnium,Hf,"From Latin *Hafnia*, which means ""Copenhagen"" of Denmark."
73,Tantalum,Ta,"Named after the Greek Τάνταλος (""Tantalus""), who was punished after death by being condemned to stand knee-deep in water. If he bent to drink the water, it drained below the level he could reach (in Greek mythology). This was considered similar to tantalum's general non-reactivity (that is, ""unreachability"") because of its inertness (it sits among reagents and is unaffected by them).[18]"
74,Tungsten,W,"From the Swedish and Danish ""tung sten"", which means ""heavy stone"". The symbol *W* is from the scientific name *wolfram*. The names *wolfram* or *volfram* are still used in Swedish and several other languages.[12]"
75,Rhenium,Re,"From Latin *Rhenus*, the river Rhine."
76,Osmium,Os,"From Greek ὀσμή (*osme*), meaning ""a smell""; the tetroxide is foul-smelling."
77,Iridium,Ir,"Named after the Latin noun *iris*, which means ""rainbow, iris plant, iris of the eye"", because many of its salts are strongly coloured; Iris was originally the name of the goddess of rainbows and a messenger in Greek mythology.[18]"
78,Platinum,Pt,"From the Spanish, *platina*, which means ""little silver"", because it was first encountered in a silver mine. Platina can also mean ""stage (of a microscope)"", and the modern Spanish is *platino*. Platina is a diminutive of *plata* (silver); it is a loan word from French *plate* or Provençal *plata* (sheet of metal) and is the origin of the English ""plate"".[44]"
79,Gold,Au,"From the Anglo-Saxon, ""gold"", from PIE **ghel-* meaning ""yellow/ bright"".*Au* is from Latin *aurum*, which means ""shining dawn"".[27]"
80,Mercury,Hg,"Named after Mercury, the god of speed and messenger of the Gods, as was the planet Mercury named after the god.The symbol *Hg* is from the Greek words ὕδωρ and ἀργυρός (*hydor* and *argyros*), which became the Latin *hydrargyrum*; both mean ""water-silver"", because it is a liquid like water (at room temperature), and has a silvery metallic sheen.[18][33]"
81,Thallium,Tl,"From Greek θαλλός (thallos), which means ""a green shoot (twig)"", because of its bright-green spectral emission lines."
82,Lead,Pb,"The symbol *Pb* is from the Latin name *plumbum*, hence the English ""plumbing"".[18][31]"
83,Bismuth,Bi,"*bisemutum* is derived from German *Wismuth*, perhaps from *weiße Masse*, and means ""white mass"", due to its appearance."
84,Polonium,Po,"Named after Poland, homeland of discoverer Marie Curie. Was also called *radium F*."
85,Astatine,At,"ἄστατος (*astatos*) means ""unstable"".[7]"
86,Radon,Rn,"Contraction of radium emanation, since the element appears in the radioactive decay of radium.An alternative, rejected name was *niton* (*Nt*), from Latin *nitens* ""shining"", because of the radioluminescence of radon."
87,Francium,Fr,"Named for France, where it was discovered (at the Curie Institute (Paris))."
88,Radium,Ra,"From Latin *radius* meaning ""ray"", because of its radioactivity."
89,Actinium,Ac,"ἀκτίς, ἀκτῖνος (*aktis*; *aktinos*), which means ""beam (ray)""."
90,Thorium,Th,"Named after Thor, a god associated with thunder in Norse mythology.[18]The former name *ionium* (*Io*) was given early in the study of radioactive elements to the 230*Th* isotope."
91,Protactinium,Pa,"Derived from former name *protoactinium*, from the Greek prefix *proto* ""first"" + Neo-Latin *actinium* from Greek ἀκτίς (gen.: ἀκτῖνος) ""ray"" + Latin *-ium*.[49]"
92,Uranium,U,"Named after the planet Uranus, which had been discovered eight years earlier in 1781. The planet was named after the god Uranus, the god of sky and heaven in Greek mythology.[18]"
93,Neptunium,Np,"Named for Neptune, the planet. (The planet was named after the god Neptune, the god of oceans in Roman mythology.)[18]"
94,Plutonium,Pu,"Named after Pluto, the dwarf planet, because it was discovered directly after Neptunium and is higher than Uranium in the periodic table, so by analogy with the ordering of the planets. (The planet Pluto was named after Pluto, a Greek god of the dead)[18] Πλούτων (*Ploutōn*) is related to the Greek word πλοῦτος (ploutos) meaning ""wealth""."
95,Americium,Am,"Named for the Americas, because it was discovered in the United States (by analogy with europium) (the name of the continent America is derived from the name of the Italian navigator Amerigo Vespucci)."
96,Curium,Cm,"Named in honour of Marie and Pierre Curie, who discovered radium and researched radioactivity."
97,Berkelium,Bk,"Named for the University of California, Berkeley, where it was discovered. Berkeley, California, was named in honour of George Berkeley. ""Berkeley"" is derived from Old English *beorce léah*, which means *birch lea.*"98,Californium,Cf,"Named for California, the U.S. state of California and for the University of California, Berkeley. (The origin of the state's name is disputed.)"99,Einsteinium,Es,"Named in honour of Albert Einstein, for his work on theoretical physics, which included the photoelectric effect."
100,Fermium,Fm,"Named in honour of Enrico Fermi, who developed the first nuclear reactor, quantum theory, nuclear and particle physics, and statistical mechanics. *Unnilnilium* would have been used as a temporary systematic element name if the IUPAC system had been in place at the time.[12]"
101,Mendelevium,Md,"Named in honour of Dmitri Mendeleyev, who invented periodic table.[32] It has also been called *eka-thulium*[25] and would have been temporarily called, by IUPAC, *unnilunium* (*Unu*) if the IUPAC system had been in place at the time.[12]"
102,Nobelium,No,"Named in honour of Alfred Nobel, who invented dynamite and instituted the Nobel Prizes foundation. *Unnilbium* would have been used as a temporary systematic element name if the IUPAC system had been in place at the time.[12]"
103,Lawrencium,Lr,"Named in honour of Ernest O. Lawrence, who was involved in the development of the cyclotron. The symbol has been *Lr* since 1963; formerly *Lw* was used. *Unniltrium* would have been used as a temporary systematic element name if the IUPAC system had been in place at the time.[12]"
104,Rutherfordium,Rf,"Named in honour of Baron Ernest Rutherford, who pioneered the Bohr model of the atom. *Rutherfordium* has also been called *kurchatovium* (*Ku*), named in honour of Igor Vasilevich Kurchatov, who helped develop understanding of the uranium chain reaction and the nuclear reactor. *Unnilquadium* was used as a temporary systematic element name.[12]"
105,Dubnium,Db,"Named for Dubna (Joint Institute for Nuclear Research, U.S.S.R.) where it was discovered. Researchers at the University of California, Berkeley proposed *hahnium* (*Ha*), in honour of Otto Hahn, for his pioneering work in radioactivity and radiochemistry, but the proposal was rejected. *Unnilpentium* was used as a temporary systematic element name.[12]"
106,Seaborgium,Sg,"Named in honour of Glenn T. Seaborg, who discovered the chemistry of the transuranium elements, shared in the discovery and isolation of ten elements, and developed and proposed the actinide series. Other names: *eka-tungsten*[25] and temporarily by IUPAC *unnilhexium* (*Unh*).[12]"
107,Bohrium,Bh,"Named in honour of Niels Bohr, who made fundamental contributions to the understanding of atomic structure and quantum mechanics.[12] *Unnilseptium* was used as a temporary systematic element name."
108,Hassium,Hs,"Derived from Latin *Hassia*, which means Hesse, the German state where it was discovered (at the Institute for Heavy Ion Research, Darmstadt).[12] It has also been called *eka-osmium*[25] and temporarily by IUPAC *unniloctium* (*Uno*).[12]"
109,Meitnerium,Mt,"Named in honour of Lise Meitner, who shared discovery of nuclear fission.[12] It has also been called *eka-iridium*[25] and temporarily by IUPAC *unnilennium* (*Une*).[12]"
110,Darmstadtium,Ds,"Named for Darmstadt, where it was discovered (GSI Helmholtz Centre for Heavy Ion Research, located in Wixhausen, a small suburb north of Darmstadt).It has also been called *eka-platinum* and temporarily by IUPAC *ununnilium* (*Uun*).[24][25]"
111,Roentgenium,Rg,"Named in honour of Wilhelm Conrad Röntgen, who produced and detected X-rays. It has also been called *eka-gold*[25] and temporarily by IUPAC *unununium* (*Uuu*).[12]"
112,Copernicium,Cn,"Named in honour of Nicolaus Copernicus. *Ununbium* was used as a temporary systematic element name, and it was referred to as *eka-mercury*."
113,Nihonium,Nh,"Named after Japan, where the element was discovered. It has also been called *eka-thallium*[25] and temporarily by IUPAC *ununtrium* (*Uut*).[12]"
114,Flerovium,Fl,"Named in honour of Georgy Flyorov, who was at the forefront of Soviet nuclear physics and founder of the Joint Institute for Nuclear Research in Dubna, Russia, where the element was discovered. *Ununquadium* was used as a temporary systematic element name.[12]"
115,Moscovium,Mc,"Named after Moscow Oblast, where the element was discovered. It has also been called *eka-bismuth*[25] and temporarily by IUPAC *ununpentium* (*Uup*).[12]"
116,Livermorium,Lv,"Named in honour of Lawrence Livermore National Laboratory, which collaborated in the discovery and is in Livermore, California, in turn named after the rancher Robert Livermore. *Ununhexium* was used as a temporary systematic element name.[12]"
117,Tennessine,Ts,"Named after Tennessee (itself named after the Cherokee village of ᏔᎾᏏ /tanasi/), where important work for one of the steps to synthesise the element was done. It has also been called *eka-astatine*[25] and temporarily by IUPAC *ununseptium* (*Uus*).[12]"
118,Oganesson,Og,"Named after Yuri Oganessian, a great contributor to the field of synthesizing superheavy elements. It has also been called *eka-radon*[25] and temporarily by IUPAC *ununoctium* (*Uuo*).[12]"
